"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,115,778","200,623","2,083,205","149,534","600,650","650,292","682,729","630,926","201,024","831,950","374,848","457,102","299,656","155,652","764,351","721,215","826,974","807,312","507,987","491,311","341,132","254,719","849,609","344,277","1,735,194","187,920","7,011,222","153,372","1,190,741","498,760","608,240","234,654","582,501","264,106"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","66.9%","4.8%","19.3%","20.9%","21.9%","20.2%","6.5%","26.7%","24.3%","29.1%","(X)","51.9%","(X)","94.4%","(X)","97.6%","(X)","96.7%","(X)","74.7%","(X)","40.5%","(X)","10.8%","(X)","2.2%","(X)","41.9%","(X)","38.6%","(X)","45.3%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","121,259","1,837,199","126,144","522,213","573,909","614,933","457,181","99,673","556,854","254,466","302,388","(X)","93,672","(X)","610,679","(X)","715,151","(X)","442,936","(X)","198,877","(X)","236,715","(X)","115,982","(X)","101,300","(X)","346,168","(X)","166,764","(X)","179,404"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.7%","60.4%","88.2%","84.4%","86.9%","88.3%","90.1%","72.5%","49.6%","66.9%","67.9%","66.2%","(X)","60.2%","(X)","84.7%","(X)","88.6%","(X)","90.2%","(X)","78.1%","(X)","68.8%","(X)","61.7%","(X)","66.0%","(X)","69.4%","(X)","71.1%","(X)","67.9%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","79,364","246,006","23,390","78,437","76,383","67,796","173,745","101,351","275,096","120,382","154,714","(X)","61,980","(X)","110,536","(X)","92,161","(X)","48,375","(X)","55,842","(X)","107,562","(X)","71,938","(X)","52,072","(X)","152,592","(X)","67,890","(X)","84,702"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.3%","39.6%","11.8%","15.6%","13.1%","11.7%","9.9%","27.5%","50.4%","33.1%","32.1%","33.8%","(X)","39.8%","(X)","15.3%","(X)","11.4%","(X)","9.8%","(X)","21.9%","(X)","31.2%","(X)","38.3%","(X)","34.0%","(X)","30.6%","(X)","28.9%","(X)","32.1%"
