"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,075,436","196,996","2,075,514","150,397","601,889","644,946","678,282","603,759","199,167","802,926","355,578","447,348","295,622","151,423","768,931","724,527","820,027","800,936","511,291","493,246","327,430","243,180","817,737","325,969","1,722,902","181,086","7,015,705","155,069","1,145,167","474,216","583,529","221,090","561,638","253,126"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.4%","67.5%","4.9%","19.6%","21.0%","22.1%","19.6%","6.5%","26.1%","23.4%","28.7%","(X)","51.2%","(X)","94.2%","(X)","97.7%","(X)","96.5%","(X)","74.3%","(X)","39.9%","(X)","10.5%","(X)","2.2%","(X)","41.4%","(X)","37.9%","(X)","45.1%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","120,039","1,826,536","127,291","522,342","566,982","609,921","437,294","100,071","537,365","240,947","296,418","(X)","91,577","(X)","613,812","(X)","705,758","(X)","444,530","(X)","188,302","(X)","223,547","(X)","112,991","(X)","103,423","(X)","327,445","(X)","156,159","(X)","171,286"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.8%","60.9%","88.0%","84.6%","86.8%","87.9%","89.9%","72.4%","50.2%","66.9%","67.8%","66.3%","(X)","60.5%","(X)","84.7%","(X)","88.1%","(X)","90.1%","(X)","77.4%","(X)","68.6%","(X)","62.4%","(X)","66.7%","(X)","69.0%","(X)","70.6%","(X)","67.7%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","76,957","248,978","23,106","79,547","77,964","68,361","166,465","99,096","265,561","114,631","150,930","(X)","59,846","(X)","110,715","(X)","95,178","(X)","48,716","(X)","54,878","(X)","102,422","(X)","68,095","(X)","51,646","(X)","146,771","(X)","64,931","(X)","81,840"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.2%","39.1%","12.0%","15.4%","13.2%","12.1%","10.1%","27.6%","49.8%","33.1%","32.2%","33.7%","(X)","39.5%","(X)","15.3%","(X)","11.9%","(X)","9.9%","(X)","22.6%","(X)","31.4%","(X)","37.6%","(X)","33.3%","(X)","31.0%","(X)","29.4%","(X)","32.3%"
