"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,182,797","207,835","2,128,085","150,935","620,355","666,760","690,035","648,498","198,379","846,877","380,291","466,586","308,964","161,136","781,334","741,000","846,355","827,506","513,981","497,406","336,123","256,144","833,461","349,432","1,751,542","193,488","7,013,336","156,685","1,169,584","505,714","594,874","236,874","574,710","268,840"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.5%","66.9%","4.7%","19.5%","20.9%","21.7%","20.4%","6.2%","26.6%","24.1%","29.0%","(X)","52.2%","(X)","94.8%","(X)","97.8%","(X)","96.8%","(X)","76.2%","(X)","41.9%","(X)","11.0%","(X)","2.2%","(X)","43.2%","(X)","39.8%","(X)","46.8%"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","125,384","1,882,380","127,214","543,694","589,541","621,931","468,815","96,341","565,156","257,010","308,146","(X)","96,795","(X)","631,253","(X)","734,134","(X)","448,592","(X)","200,176","(X)","239,736","(X)","119,686","(X)","102,548","(X)","350,875","(X)","167,875","(X)","183,000"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","80.8%","60.3%","88.5%","84.3%","87.6%","88.4%","90.1%","72.3%","48.6%","66.7%","67.6%","66.0%","(X)","60.1%","(X)","85.2%","(X)","88.7%","(X)","90.2%","(X)","78.1%","(X)","68.6%","(X)","61.9%","(X)","65.4%","(X)","69.4%","(X)","70.9%","(X)","68.1%"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","82,451","245,705","23,721","76,661","77,219","68,104","179,683","102,038","281,721","123,281","158,440","(X)","64,341","(X)","109,747","(X)","93,372","(X)","48,814","(X)","55,968","(X)","109,696","(X)","73,802","(X)","54,137","(X)","154,839","(X)","68,999","(X)","85,840"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19.2%","39.7%","11.5%","15.7%","12.4%","11.6%","9.9%","27.7%","51.4%","33.3%","32.4%","34.0%","(X)","39.9%","(X)","14.8%","(X)","11.3%","(X)","9.8%","(X)","21.9%","(X)","31.4%","(X)","38.1%","(X)","34.6%","(X)","30.6%","(X)","29.1%","(X)","31.9%"
