"Label (Grouping)","Occupied housing units","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS","Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300","Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499","Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799","Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent","Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!No cash rent"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,884,061","","166,944","131,712","179,484","189,258","207,124","394,653","548,980","815,673","627,786","810,249","812,198","68,428","","179,983","374,114","847,788","626,095","1,143,502","711,432","410,820","222,496","299,663","68,168","1,147","","572,472","24,293","53,608","494,571","589,706","85,328","113,412","390,966","540,185","150,024","167,015","223,146","805,942","356,649","255,382","193,911","2,236,817","1,628,586","467,195","141,036","70,771","68,168"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,884,061","","3.4%","2.7%","3.7%","3.9%","4.2%","8.1%","11.2%","16.7%","12.9%","16.6%","16.6%","68,428","","3.7%","7.7%","17.4%","12.8%","23.4%","14.6%","8.4%","4.6%","6.1%","1.4%","1,147","","11.7%","0.5%","1.1%","10.1%","12.1%","1.7%","2.3%","8.0%","11.1%","3.1%","3.4%","4.6%","16.5%","7.3%","5.2%","4.0%","45.8%","33.3%","9.6%","2.9%","1.4%","1.4%"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,237,778","","58,603","37,621","65,578","81,398","96,082","202,537","321,303","536,122","459,666","661,391","717,477","86,167","","112,612","282,802","552,812","334,763","664,393","497,411","327,831","191,826","273,328","(X)","1,237","","218,477","13,930","20,528","184,019","298,619","68,207","67,658","162,754","321,303","118,855","82,509","119,939","536,122","260,879","140,473","134,770","1,838,534","1,347,292","368,447","122,795","24,723","(X)"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,237,778","","1.8%","1.2%","2.0%","2.5%","3.0%","6.3%","9.9%","16.6%","14.2%","20.4%","22.2%","86,167","","3.5%","8.7%","17.1%","10.3%","20.5%","15.4%","10.1%","5.9%","8.4%","(X)","1,237","","6.7%","0.4%","0.6%","5.7%","9.2%","2.1%","2.1%","5.0%","9.9%","3.7%","2.5%","3.7%","16.6%","8.1%","4.3%","4.2%","56.8%","41.6%","11.4%","3.8%","0.8%","(X)"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,646,283","","108,341","94,091","113,906","107,860","111,042","192,116","227,677","279,551","168,120","148,858","94,721","40,983","","67,371","91,312","294,976","291,332","479,109","214,021","82,989","30,670","26,335","68,168","1,038","","353,995","10,363","33,080","310,552","291,087","17,121","45,754","228,212","218,882","31,169","84,506","103,207","269,820","95,770","114,909","59,141","398,283","281,294","98,748","18,241","46,048","68,168"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,646,283","","6.6%","5.7%","6.9%","6.6%","6.7%","11.7%","13.8%","17.0%","10.2%","9.0%","5.8%","40,983","","4.1%","5.5%","17.9%","17.7%","29.1%","13.0%","5.0%","1.9%","1.6%","4.1%","1,038","","21.5%","0.6%","2.0%","18.9%","17.7%","1.0%","2.8%","13.9%","13.3%","1.9%","5.1%","6.3%","16.4%","5.8%","7.0%","3.6%","24.2%","17.1%","6.0%","1.1%","2.8%","4.1%"
