"Label (Grouping)","Occupied housing units","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS","Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300","Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499","Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799","Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent","Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!No cash rent"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,930,255","","169,537","120,227","172,660","175,054","190,868","379,283","528,830","801,687","634,032","841,113","916,964","72,563","","166,592","344,639","788,877","605,455","1,164,396","750,379","447,677","245,679","347,031","69,530","1,199","","539,828","20,201","48,434","471,193","558,478","75,613","101,581","381,284","519,893","135,690","155,256","228,947","791,735","332,097","254,201","205,437","2,376,962","1,716,538","501,621","158,803","73,829","69,530"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,930,255","","3.4%","2.4%","3.5%","3.6%","3.9%","7.7%","10.7%","16.3%","12.9%","17.1%","18.6%","72,563","","3.4%","7.0%","16.0%","12.3%","23.6%","15.2%","9.1%","5.0%","7.0%","1.4%","1,199","","10.9%","0.4%","1.0%","9.6%","11.3%","1.5%","2.1%","7.7%","10.5%","2.8%","3.1%","4.6%","16.1%","6.7%","5.2%","4.2%","48.2%","34.8%","10.2%","3.2%","1.5%","1.4%"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,279,322","","59,349","36,606","60,085","74,489","87,500","189,130","307,255","519,779","457,310","681,208","806,611","91,013","","103,676","263,111","530,520","336,809","660,679","511,953","350,869","208,152","313,553","(X)","1,293","","204,809","11,485","17,470","175,854","276,630","59,539","61,337","155,754","307,255","109,637","77,498","120,120","519,779","246,317","136,238","137,224","1,945,129","1,419,706","389,589","135,834","25,720","(X)"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,279,322","","1.8%","1.1%","1.8%","2.3%","2.7%","5.8%","9.4%","15.9%","13.9%","20.8%","24.6%","91,013","","3.2%","8.0%","16.2%","10.3%","20.1%","15.6%","10.7%","6.3%","9.6%","(X)","1,293","","6.2%","0.4%","0.5%","5.4%","8.4%","1.8%","1.9%","4.7%","9.4%","3.3%","2.4%","3.7%","15.9%","7.5%","4.2%","4.2%","59.3%","43.3%","11.9%","4.1%","0.8%","(X)"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,650,933","","110,188","83,621","112,575","100,565","103,368","190,153","221,575","281,908","176,722","159,905","110,353","43,099","","62,916","81,528","258,357","268,646","503,717","238,426","96,808","37,527","33,478","69,530","1,097","","335,019","8,716","30,964","295,339","281,848","16,074","40,244","225,530","212,638","26,053","77,758","108,827","271,956","85,780","117,963","68,213","431,833","296,832","112,032","22,969","48,109","69,530"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,650,933","","6.7%","5.1%","6.8%","6.1%","6.3%","11.5%","13.4%","17.1%","10.7%","9.7%","6.7%","43,099","","3.8%","4.9%","15.6%","16.3%","30.5%","14.4%","5.9%","2.3%","2.0%","4.2%","1,097","","20.3%","0.5%","1.9%","17.9%","17.1%","1.0%","2.4%","13.7%","12.9%","1.6%","4.7%","6.6%","16.5%","5.2%","7.1%","4.1%","26.2%","18.0%","6.8%","1.4%","2.9%","4.2%"
