"Label (Grouping)","Occupied housing units","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Less than $5,000","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$5,000 to $9,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$10,000 to $14,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$15,000 to $19,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$20,000 to $24,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$25,000 to $34,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$35,000 to $49,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$50,000 to $74,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$75,000 to $99,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$100,000 to $149,999","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!$150,000 or more","Occupied housing units!!HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median household income (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS","Occupied housing units!!MONTHLY HOUSING COSTS!!Less than $300","Occupied housing units!!MONTHLY HOUSING COSTS!!$300 to $499","Occupied housing units!!MONTHLY HOUSING COSTS!!$500 to $799","Occupied housing units!!MONTHLY HOUSING COSTS!!$800 to $999","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,000 to $1,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$1,500 to $1,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,000 to $2,499","Occupied housing units!!MONTHLY HOUSING COSTS!!$2,500 to $2,999","Occupied housing units!!MONTHLY HOUSING COSTS!!$3,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS!!No cash rent","Occupied housing units!!MONTHLY HOUSING COSTS!!Median (dollars)","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Less than $20,000!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$20,000 to $34,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$35,000 to $49,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$50,000 to $74,999!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!Less than 20 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!20 to 29 percent","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!$75,000 or more!!30 percent or more","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!Zero or negative income","Occupied housing units!!MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS!!No cash rent"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,968,761","","173,035","88,948","173,630","154,823","177,580","350,966","500,799","766,671","639,046","876,255","1,067,008","78,433","","144,927","302,733","699,574","568,224","1,186,285","785,524","493,881","289,946","427,062","70,605","1,284","","492,769","15,960","40,805","436,004","517,136","63,272","84,785","369,079","492,047","115,754","137,377","238,916","756,488","294,109","240,891","221,488","2,564,635","1,822,193","551,276","191,166","75,081","70,605"
"    Percent occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,968,761","","3.5%","1.8%","3.5%","3.1%","3.6%","7.1%","10.1%","15.4%","12.9%","17.6%","21.5%","78,433","","2.9%","6.1%","14.1%","11.4%","23.9%","15.8%","9.9%","5.8%","8.6%","1.4%","1,284","","9.9%","0.3%","0.8%","8.8%","10.4%","1.3%","1.7%","7.4%","9.9%","2.3%","2.8%","4.8%","15.2%","5.9%","4.8%","4.5%","51.6%","36.7%","11.1%","3.8%","1.5%","1.4%"
"    Owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,312,809","","61,567","32,726","54,287","66,326","78,392","171,402","284,035","488,301","448,230","693,776","933,767","98,157","","89,824","231,631","490,256","330,831","664,695","518,387","369,433","240,496","377,256","(X)","1,378","","188,202","8,954","13,828","165,420","249,794","49,182","51,669","148,943","284,035","94,045","72,402","117,588","488,301","224,353","123,186","140,762","2,075,773","1,503,646","415,462","156,665","26,704","(X)"
"    Percent owner-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,312,809","","1.9%","1.0%","1.6%","2.0%","2.4%","5.2%","8.6%","14.7%","13.5%","20.9%","28.2%","98,157","","2.7%","7.0%","14.8%","10.0%","20.1%","15.6%","11.2%","7.3%","11.4%","(X)","1,378","","5.7%","0.3%","0.4%","5.0%","7.5%","1.5%","1.6%","4.5%","8.6%","2.8%","2.2%","3.5%","14.7%","6.8%","3.7%","4.2%","62.7%","45.4%","12.5%","4.7%","0.8%","(X)"
"    Renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,655,952","","111,468","56,222","119,343","88,497","99,188","179,564","216,764","278,370","190,816","182,479","133,241","46,750","","55,103","71,102","209,318","237,393","521,590","267,137","124,448","49,450","49,806","70,605","1,179","","304,567","7,006","26,977","270,584","267,342","14,090","33,116","220,136","208,012","21,709","64,975","121,328","268,187","69,756","117,705","80,726","488,862","318,547","135,814","34,501","48,377","70,605"
"    Percent renter-occupied housing units","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,655,952","","6.7%","3.4%","7.2%","5.3%","6.0%","10.8%","13.1%","16.8%","11.5%","11.0%","8.0%","46,750","","3.3%","4.3%","12.6%","14.3%","31.5%","16.1%","7.5%","3.0%","3.0%","4.3%","1,179","","18.4%","0.4%","1.6%","16.3%","16.1%","0.9%","2.0%","13.3%","12.6%","1.3%","3.9%","7.3%","16.2%","4.2%","7.1%","4.9%","29.5%","19.2%","8.2%","2.1%","2.9%","4.3%"
